STATION_ID,DATE,CHLa,Year,Month,StationDate,STATION_YEAR,SECCHI_DEPTH,NITROGEN_TOTAL,PHOSPHORUS_TOTAL,PHOSPHORUS_ORTHO,TURBIDITY_HACH,TURBIDITY_NTU,TSF,TF,TSS,AMMONIA_TOTAL,NITRATE_TOTAL,DIN
1AAUA012.15,2019-09-12T00:00:00Z,1.99,2019,9,1AAUA012.15_2019-09-12,1AAUA012.15_2019,3.4,0.25,0.01,0,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.15,2019-10-29T00:00:00Z,11,2019,10,1AAUA012.15_2019-10-29,1AAUA012.15_2019,1.5,0.28,0.015,0,NA,NA,NA,NA,NA,0,NA,NA
1AAUA012.15,2021-05-24T00:00:00Z,2.47,2021,5,1AAUA012.15_2021-05-24,1AAUA012.15_2021,2.3,0.24,0.01,NA,NA,1.04,NA,NA,1,0,0.01,0.01
1AAUA012.15,2021-06-21T00:00:00Z,2.26,2021,6,1AAUA012.15_2021-06-21,1AAUA012.15_2021,2.4,0.33,0.01,NA,NA,1.06,NA,NA,1,0.01,0,0.01
1AAUA012.15,2021-07-19T00:00:00Z,1.73,2021,7,1AAUA012.15_2021-07-19,1AAUA012.15_2021,2.9,0.22,0.01,NA,NA,0.93,NA,NA,2,0,0,0
1AAUA012.15,2021-08-19T00:00:00Z,1.76,2021,8,1AAUA012.15_2021-08-19,1AAUA012.15_2021,2.7,0.24,0.01,NA,NA,0.95,NA,NA,1,0,0,0
1AAUA012.15,2021-09-13T00:00:00Z,3.76,2021,9,1AAUA012.15_2021-09-13,1AAUA012.15_2021,2.4,0.29,0,NA,NA,1.25,NA,NA,1,0,0,0
1AAUA012.15,2021-10-04T00:00:00Z,2.86,2021,10,1AAUA012.15_2021-10-04,1AAUA012.15_2021,3.3,0.27,0.01,NA,NA,0.86,NA,NA,1,0,0.01,0.01
1AAUA012.15,2022-05-23T00:00:00Z,3.19,2022,5,1AAUA012.15_2022-05-23,1AAUA012.15_2022,2.3,0.3,0.02,NA,NA,1.74,NA,NA,2,0.01,0.01,0.02
1AAUA012.15,2022-06-23T00:00:00Z,3.22,2022,6,1AAUA012.15_2022-06-23,1AAUA012.15_2022,2.2,0.29,0.02,NA,NA,1.29,NA,NA,2,0,0,0
1AAUA012.15,2022-07-18T00:00:00Z,2.58,2022,7,1AAUA012.15_2022-07-18,1AAUA012.15_2022,2.4,0.28,0.01,NA,NA,0.94,NA,NA,2,0,0,0
1AAUA012.15,2022-08-15T00:00:00Z,4.15,2022,8,1AAUA012.15_2022-08-15,1AAUA012.15_2022,2.3,0.32,0.01,NA,NA,1.29,NA,NA,2,0,0,0
1AAUA012.15,2022-09-27T00:00:00Z,3.04,2022,9,1AAUA012.15_2022-09-27,1AAUA012.15_2022,2.7,0.29,0.01,NA,NA,1.2,NA,NA,2,0,0,0
1AAUA012.15,2022-10-20T00:00:00Z,4.5,2022,10,1AAUA012.15_2022-10-20,1AAUA012.15_2022,2.4,0.28,0.01,NA,NA,1.39,NA,NA,2,0,0.01,0.01
1AAUA012.55,2004-05-20T00:00:00Z,2.46,2004,5,1AAUA012.55_2004-05-20,1AAUA012.55_2004,NA,0.34,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2004-06-16T00:00:00Z,NA,2004,6,1AAUA012.55_2004-06-16,1AAUA012.55_2004,NA,0.41,0.01,0.01,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2004-07-21T00:00:00Z,1.83,2004,7,1AAUA012.55_2004-07-21,1AAUA012.55_2004,NA,0.32,0.01,0.01,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2004-08-30T00:00:00Z,3.17,2004,8,1AAUA012.55_2004-08-30,1AAUA012.55_2004,NA,0.42,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2004-09-30T00:00:00Z,0.53,2004,9,1AAUA012.55_2004-09-30,1AAUA012.55_2004,NA,0.5,0.03,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2004-10-28T00:00:00Z,2.045,2004,10,1AAUA012.55_2004-10-28,1AAUA012.55_2004,NA,0.485,0.02,0.02,NA,NA,NA,NA,NA,0.08,NA,NA
1AAUA012.55,2013-05-15T00:00:00Z,5.06,2013,5,1AAUA012.55_2013-05-15,1AAUA012.55_2013,1,0.43,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2013-06-26T00:00:00Z,2.72,2013,6,1AAUA012.55_2013-06-26,1AAUA012.55_2013,1.5,0.39,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2013-07-25T00:00:00Z,3.76,2013,7,1AAUA012.55_2013-07-25,1AAUA012.55_2013,2.1,0.3,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2013-08-14T00:00:00Z,3.7,2013,8,1AAUA012.55_2013-08-14,1AAUA012.55_2013,2.3,0.35,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.55,2019-05-28T00:00:00Z,2.88,2019,5,1AAUA012.55_2019-05-28,1AAUA012.55_2019,1.3,0.36,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.55,2019-07-15T00:00:00Z,1.99,2019,7,1AAUA012.55_2019-07-15,1AAUA012.55_2019,2.3,0.27,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.55,2019-08-15T00:00:00Z,2.06,2019,8,1AAUA012.55_2019-08-15,1AAUA012.55_2019,2.7,0.23,0.01,0.01,NA,NA,NA,NA,NA,0,NA,NA
1AAUA012.55,2019-09-12T00:00:00Z,1.89,2019,9,1AAUA012.55_2019-09-12,1AAUA012.55_2019,3,0.26,0.01,0,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.55,2019-10-29T00:00:00Z,14.3,2019,10,1AAUA012.55_2019-10-29,1AAUA012.55_2019,0.8,0.41000000000000003,0.035,0,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA013.05,2021-05-24T00:00:00Z,2.69,2021,5,1AAUA013.05_2021-05-24,1AAUA013.05_2021,2.3,0.24,0.01,NA,NA,1.24,NA,NA,1,0,0.01,0.01
1AAUA013.05,2021-06-21T00:00:00Z,1.82,2021,6,1AAUA013.05_2021-06-21,1AAUA013.05_2021,2.5,0.24,0.01,NA,NA,0.98,NA,NA,2,0,0,0
1AAUA013.05,2021-07-19T00:00:00Z,1.37,2021,7,1AAUA013.05_2021-07-19,1AAUA013.05_2021,2.4,0.24,0.01,NA,NA,0.98,NA,NA,1,0,0,0
1AAUA013.05,2021-08-19T00:00:00Z,1.83,2021,8,1AAUA013.05_2021-08-19,1AAUA013.05_2021,2.5,0.26,0.01,NA,NA,0.96,NA,NA,1,0,0,0
1AAUA013.05,2021-09-13T00:00:00Z,5.25,2021,9,1AAUA013.05_2021-09-13,1AAUA013.05_2021,2.2,0.26,0.01,NA,NA,1.32,NA,NA,2,0,0,0
1AAUA013.05,2021-10-04T00:00:00Z,2.28,2021,10,1AAUA013.05_2021-10-04,1AAUA013.05_2021,3,0.26,0.01,NA,NA,0.89,NA,NA,1,0,0.01,0.01
1AAUA013.05,2022-05-23T00:00:00Z,3.6,2022,5,1AAUA013.05_2022-05-23,1AAUA013.05_2022,2,0.31,0.02,NA,NA,1.74,NA,NA,2,0.01,0.01,0.02
1AAUA013.05,2022-07-18T00:00:00Z,2.03,2022,7,1AAUA013.05_2022-07-18,1AAUA013.05_2022,2.3,0.28,0.01,NA,NA,0.98,NA,NA,1,0,0,0
1AAUA013.05,2022-08-15T00:00:00Z,8.42,2022,8,1AAUA013.05_2022-08-15,1AAUA013.05_2022,2.5,0.34,0.01,NA,NA,1.54,NA,NA,2,0,0,0
1AAUA013.05,2022-09-27T00:00:00Z,3.2,2022,9,1AAUA013.05_2022-09-27,1AAUA013.05_2022,2.5,0.29,0.01,NA,NA,1.37,NA,NA,2,0,0,0
1AAUA013.05,2022-10-20T00:00:00Z,3.26,2022,10,1AAUA013.05_2022-10-20,1AAUA013.05_2022,2.4,0.27,0.01,NA,NA,1.34,NA,NA,2,0,0.01,0.01
1ABED000.19,2004-05-20T00:00:00Z,4.72,2004,5,1ABED000.19_2004-05-20,1ABED000.19_2004,NA,0.33,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2004-06-16T00:00:00Z,NA,2004,6,1ABED000.19_2004-06-16,1ABED000.19_2004,NA,0.47,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2004-07-21T00:00:00Z,3.01,2004,7,1ABED000.19_2004-07-21,1ABED000.19_2004,NA,0.33,0.02,0,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2004-08-30T00:00:00Z,3.52,2004,8,1ABED000.19_2004-08-30,1ABED000.19_2004,NA,0.37,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2004-09-30T00:00:00Z,2.21,2004,9,1ABED000.19_2004-09-30,1ABED000.19_2004,NA,0.42,0.03,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2004-10-28T00:00:00Z,2.24,2004,10,1ABED000.19_2004-10-28,1ABED000.19_2004,NA,0.49,0.02,0.02,NA,NA,NA,NA,NA,0.08,NA,NA
1ABED000.19,2013-05-15T00:00:00Z,4.64,2013,5,1ABED000.19_2013-05-15,1ABED000.19_2013,1.2,0.41,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2013-06-26T00:00:00Z,2.95,2013,6,1ABED000.19_2013-06-26,1ABED000.19_2013,1.9,0.39,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2013-07-25T00:00:00Z,4.02,2013,7,1ABED000.19_2013-07-25,1ABED000.19_2013,2.1,0.31,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2013-08-14T00:00:00Z,4.335,2013,8,1ABED000.19_2013-08-14,1ABED000.19_2013,2.4,0.37,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ABED000.19,2019-05-28T00:00:00Z,2.01,2019,5,1ABED000.19_2019-05-28,1ABED000.19_2019,1.9,0.34,0.01,0,NA,NA,NA,NA,NA,0.01,NA,NA
1ABED000.19,2019-07-15T00:00:00Z,1.96,2019,7,1ABED000.19_2019-07-15,1ABED000.19_2019,2.9,0.3,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1ABED000.19,2019-08-15T00:00:00Z,1.6,2019,8,1ABED000.19_2019-08-15,1ABED000.19_2019,2.9,0.22,0.01,0.01,NA,NA,NA,NA,NA,0,NA,NA
1ABED000.19,2019-09-12T00:00:00Z,1.71,2019,9,1ABED000.19_2019-09-12,1ABED000.19_2019,2.9,0.25,0.01,0,NA,NA,NA,NA,NA,0,NA,NA
1ABED000.19,2019-10-29T00:00:00Z,12.1,2019,10,1ABED000.19_2019-10-29,1ABED000.19_2019,1.8,0.29,0.02,0,NA,NA,NA,NA,NA,0.01,NA,NA
1ABED000.87,2021-05-24T00:00:00Z,2.37,2021,5,1ABED000.87_2021-05-24,1ABED000.87_2021,2.8,0.21,0.01,NA,NA,1.14,NA,NA,1,0,0,0
1ABED000.87,2021-06-21T00:00:00Z,2.06,2021,6,1ABED000.87_2021-06-21,1ABED000.87_2021,2.5,0.26,0.01,NA,NA,1.21,NA,NA,2,0,0,0
1ABED000.87,2021-07-19T00:00:00Z,1.82,2021,7,1ABED000.87_2021-07-19,1ABED000.87_2021,2.6,0.24,0.01,NA,NA,1.08,NA,NA,2,0,0,0
1ABED000.87,2021-08-19T00:00:00Z,1.89,2021,8,1ABED000.87_2021-08-19,1ABED000.87_2021,2.3,0.25,0.01,NA,NA,1.06,NA,NA,1,0,0,0
1ABED000.87,2021-09-13T00:00:00Z,1.76,2021,9,1ABED000.87_2021-09-13,1ABED000.87_2021,2.7,0.28,0,NA,NA,1.21,NA,NA,1,0,0,0
1ABED000.87,2021-10-04T00:00:00Z,1.83,2021,10,1ABED000.87_2021-10-04,1ABED000.87_2021,3.2,0.27,0.01,NA,NA,0.71,NA,NA,1,0,0.01,0.01
1ABED000.87,2022-05-23T00:00:00Z,3.04,2022,5,1ABED000.87_2022-05-23,1ABED000.87_2022,1.7,0.3,0.02,NA,NA,1.91,NA,NA,2,0,0,0
1ABED000.87,2022-07-18T00:00:00Z,1.74,2022,7,1ABED000.87_2022-07-18,1ABED000.87_2022,3,0.26,0.01,NA,NA,0.89,NA,NA,1,0,0,0
1ABED000.87,2022-08-15T00:00:00Z,4.59,2022,8,1ABED000.87_2022-08-15,1ABED000.87_2022,2.5,0.32,0.01,NA,NA,1.34,NA,NA,2,0,0,0
1ABED000.87,2022-09-27T00:00:00Z,2.95,2022,9,1ABED000.87_2022-09-27,1ABED000.87_2022,2.3,0.29,0.01,NA,NA,1.33,NA,NA,2,0,0,0
1ABED000.87,2022-10-20T00:00:00Z,4.84,2022,10,1ABED000.87_2022-10-20,1ABED000.87_2022,1.9,0.3,0.01,NA,NA,2.09,NA,NA,2,0.01,0.01,0.02
1ABEE000.40,2015-05-26T00:00:00Z,4.95,2015,5,1ABEE000.40_2015-05-26,1ABEE000.40_2015,1.5,0.8,0.02,0.01,NA,NA,NA,NA,NA,0.03,NA,NA
1ABEE000.40,2015-06-23T00:00:00Z,2.95,2015,6,1ABEE000.40_2015-06-23,1ABEE000.40_2015,2.3,0.52,0.01,0,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE000.40,2015-07-09T00:00:00Z,3.79,2015,7,1ABEE000.40_2015-07-09,1ABEE000.40_2015,1.8,0.44,0.02,0,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE000.40,2015-08-25T00:00:00Z,2.715,2015,8,1ABEE000.40_2015-08-25,1ABEE000.40_2015,2.9,0.385,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE000.40,2015-10-29T00:00:00Z,5.32,2015,10,1ABEE000.40_2015-10-29,1ABEE000.40_2015,1.2,0.57,0.04,0,NA,NA,NA,NA,NA,0.12,NA,NA
1ABEE000.40,2016-05-11T00:00:00Z,12.5,2016,5,1ABEE000.40_2016-05-11,1ABEE000.40_2016,NA,0.5,0.02,0,NA,NA,NA,NA,NA,0,NA,NA
1ABEE000.40,2016-06-15T00:00:00Z,5.09,2016,6,1ABEE000.40_2016-06-15,1ABEE000.40_2016,1.7,0.5,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE000.40,2016-07-13T00:00:00Z,3.83,2016,7,1ABEE000.40_2016-07-13,1ABEE000.40_2016,1.8,0.52,0.01,0,NA,NA,NA,NA,NA,0,NA,NA
1ABEE000.40,2016-10-05T00:00:00Z,5.13,2016,10,1ABEE000.40_2016-10-05,1ABEE000.40_2016,1.9,0.59,0.02,0,NA,NA,NA,NA,NA,0.12,NA,NA
1ABEE001.40,2015-05-26T00:00:00Z,5.22,2015,5,1ABEE001.40_2015-05-26,1ABEE001.40_2015,1.3,0.81,0.02,0,NA,NA,NA,NA,NA,0.04,NA,NA
1ABEE001.40,2015-06-23T00:00:00Z,3.79,2015,6,1ABEE001.40_2015-06-23,1ABEE001.40_2015,1.7,0.52,0.01,0,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE001.40,2015-07-09T00:00:00Z,4.47,2015,7,1ABEE001.40_2015-07-09,1ABEE001.40_2015,1.8,0.42,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1ABEE001.40,2015-08-25T00:00:00Z,2.78,2015,8,1ABEE001.40_2015-08-25,1ABEE001.40_2015,3,0.34,0.01,0.01,NA,NA,NA,NA,NA,0,NA,NA
1ABEE001.40,2015-10-29T00:00:00Z,4.75,2015,10,1ABEE001.40_2015-10-29,1ABEE001.40_2015,1.2,0.59,0.04,0,NA,NA,NA,NA,NA,0.09,NA,NA
1AGOO004.93,2015-05-26T00:00:00Z,1.2200000000000002,2015,5,1AGOO004.93_2015-05-26,1AGOO004.93_2015,0.8,1,0.035,0.015,NA,NA,NA,NA,NA,0.10500000000000001,NA,NA
1AGOO004.93,2015-06-23T00:00:00Z,1.83,2015,6,1AGOO004.93_2015-06-23,1AGOO004.93_2015,0.8,1.09,0.06,0.03,NA,NA,NA,NA,NA,0.11,NA,NA
1AGOO004.93,2015-07-09T00:00:00Z,2.06,2015,7,1AGOO004.93_2015-07-09,1AGOO004.93_2015,0.2,1.13,0.15,0.06,NA,NA,NA,NA,NA,0.05,NA,NA
1AGOO004.93,2015-08-25T00:00:00Z,4.73,2015,8,1AGOO004.93_2015-08-25,1AGOO004.93_2015,0.6,1.22,0.07,0.03,NA,NA,NA,NA,NA,0.14,NA,NA
1AGOO004.93,2015-10-29T00:00:00Z,3.67,2015,10,1AGOO004.93_2015-10-29,1AGOO004.93_2015,0.2,1.09,0.18,0.06,NA,NA,NA,NA,NA,0.01,NA,NA
1AGOO004.93,2016-05-11T00:00:00Z,1.03,2016,5,1AGOO004.93_2016-05-11,1AGOO004.93_2016,0.7,0.89,0.04,0.01,NA,NA,NA,NA,NA,0.02,NA,NA
1AGOO004.93,2016-06-08T00:00:00Z,0.96,2016,6,1AGOO004.93_2016-06-08,1AGOO004.93_2016,0.7,0.92,0.05,0.02,NA,NA,NA,NA,NA,0.09,NA,NA
1AGOO004.93,2016-07-13T00:00:00Z,14,2016,7,1AGOO004.93_2016-07-13,1AGOO004.93_2016,0.9,0.77,0.05,0.02,NA,NA,NA,NA,NA,0.06,NA,NA
1AGOO004.93,2016-08-22T00:00:00Z,2.785,2016,8,1AGOO004.93_2016-08-22,1AGOO004.93_2016,0.6,0.94,0.08,0.04,NA,NA,NA,NA,NA,0.22,NA,NA
1AGOO004.93,2016-10-05T00:00:00Z,2.92,2016,10,1AGOO004.93_2016-10-05,1AGOO004.93_2016,0.7,1.07,0.06,0.02,NA,NA,NA,NA,NA,0.07,NA,NA
1AGOO005.57,2015-05-26T00:00:00Z,0.44,2015,5,1AGOO005.57_2015-05-26,1AGOO005.57_2015,1.1,0.84,0.04,0.01,NA,NA,NA,NA,NA,0.07,NA,NA
1AGOO005.57,2015-06-23T00:00:00Z,1.21,2015,6,1AGOO005.57_2015-06-23,1AGOO005.57_2015,0.9,1.02,0.06,0.03,NA,NA,NA,NA,NA,0.1,NA,NA
1AGOO005.57,2015-07-09T00:00:00Z,3.74,2015,7,1AGOO005.57_2015-07-09,1AGOO005.57_2015,0.2,1.33,0.24,0.07,NA,NA,NA,NA,NA,0.08,NA,NA
1AGOO005.57,2015-08-25T00:00:00Z,2.19,2015,8,1AGOO005.57_2015-08-25,1AGOO005.57_2015,0.7,1.1,0.07,0.03,NA,NA,NA,NA,NA,0.13,NA,NA
1AGOO005.57,2015-10-29T00:00:00Z,4.24,2015,10,1AGOO005.57_2015-10-29,1AGOO005.57_2015,0.2,1.14,0.17,0.05,NA,NA,NA,NA,NA,0.01,NA,NA
1AGOO005.57,2016-05-11T00:00:00Z,1.35,2016,5,1AGOO005.57_2016-05-11,1AGOO005.57_2016,0.8,0.94,0.05,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AGOO005.57,2016-06-08T00:00:00Z,0.62,2016,6,1AGOO005.57_2016-06-08,1AGOO005.57_2016,1,0.93,0.05,0.01,NA,NA,NA,NA,NA,0.07,NA,NA
1AGOO005.57,2016-07-13T00:00:00Z,10.5,2016,7,1AGOO005.57_2016-07-13,1AGOO005.57_2016,1,0.76,0.04,0.02,NA,NA,NA,NA,NA,0.06,NA,NA
1AGOO005.57,2016-08-22T00:00:00Z,1.73,2016,8,1AGOO005.57_2016-08-22,1AGOO005.57_2016,0.6,0.8,0.07,0.04,NA,NA,NA,NA,NA,0.18,NA,NA
1AGOO005.57,2016-10-05T00:00:00Z,1.48,2016,10,1AGOO005.57_2016-10-05,1AGOO005.57_2016,0.6,1.01,0.06,0.04,NA,NA,NA,NA,NA,0.07,NA,NA
1AHAM003.08,2010-05-18T00:00:00Z,9.68,2010,5,1AHAM003.08_2010-05-18,1AHAM003.08_2010,1.2,1.53,0.03,0.02,NA,NA,NA,NA,NA,0.11,NA,NA
1AHAM003.08,2010-06-16T00:00:00Z,15.1,2010,6,1AHAM003.08_2010-06-16,1AHAM003.08_2010,NA,1.35,0.04,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2010-07-19T00:00:00Z,33.8,2010,7,1AHAM003.08_2010-07-19,1AHAM003.08_2010,0.9,0.98,0.05,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2010-08-16T00:00:00Z,25.4,2010,8,1AHAM003.08_2010-08-16,1AHAM003.08_2010,0.6,0.79,0.03,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2010-09-29T00:00:00Z,28.3,2010,9,1AHAM003.08_2010-09-29,1AHAM003.08_2010,0.9,0.67,0.04,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2010-10-26T00:00:00Z,7.74,2010,10,1AHAM003.08_2010-10-26,1AHAM003.08_2010,1,0.83,0.03,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2011-05-19T00:00:00Z,4.91,2011,5,1AHAM003.08_2011-05-19,1AHAM003.08_2011,NA,1.21,0.04,0.02,NA,NA,NA,NA,NA,0.08,NA,NA
1AHAM003.08,2011-06-28T00:00:00Z,26.6,2011,6,1AHAM003.08_2011-06-28,1AHAM003.08_2011,NA,0.81,0.05,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2011-07-26T00:00:00Z,28.4,2011,7,1AHAM003.08_2011-07-26,1AHAM003.08_2011,0.6,0.68,0.07,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2011-08-23T00:00:00Z,21.2,2011,8,1AHAM003.08_2011-08-23,1AHAM003.08_2011,0.6,0.65,0.07,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2011-09-26T00:00:00Z,14.1,2011,9,1AHAM003.08_2011-09-26,1AHAM003.08_2011,0.7,0.67,0.05,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AHAM003.08,2011-10-27T00:00:00Z,24.6,2011,10,1AHAM003.08_2011-10-27,1AHAM003.08_2011,NA,0.82,0.04,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1ALOH001.51,2016-05-12T00:00:00Z,11,2016,5,1ALOH001.51_2016-05-12,1ALOH001.51_2016,1.2,0.55,0.03,0,NA,NA,NA,NA,NA,0,NA,NA
1ALOH001.51,2016-06-22T00:00:00Z,8.01,2016,6,1ALOH001.51_2016-06-22,1ALOH001.51_2016,1.8,0.51,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1ALOH001.51,2016-07-20T00:00:00Z,16.1,2016,7,1ALOH001.51_2016-07-20,1ALOH001.51_2016,1.1,0.63,0.02,0,NA,NA,NA,NA,NA,0.005,NA,NA
