Year,STATION_ID,NITROGEN_TOTAL,DIN
2024,4AROA018.36,0.31333333333333335,0.016666666666666666
2023,4AROA038.49,0.4683333333333333,0.08666666666666667
2024,4AROA038.49,0.52,0.06333333333333334
2021,4AROA140.66,0.3883333333333333,0.06
2022,4AROA140.66,0.3116666666666667,0.07500000000000001
2021,4AROA163.76,0.32666666666666666,0.09083333333333334
2022,4AROA163.76,0.30833333333333335,0.07666666666666666
2021,4AROA175.63,0.5690000000000001,0.221
2022,4AROA175.63,0.6283333333333333,0.23666666666666666
2022,4ASRN005.14,0.8333333333333334,0.08
2023,5ANTW127.14,0.5733333333333334,0.015
2024,5ANTW127.14,0.4875,0.029166666666666667
2022,6APNK001.26,0.26333333333333336,0.02
2021,6BXAR000.69,0.20166666666666666,0.0033333333333333335
2023,7-BEA002.82,0.4266666666666667,0.01
2024,7-BEA002.82,0.36333333333333334,0
2023,7-LAS000.06,1.5583333333333333,0.015
2023,7-LAS001.03,1.4555555555555557,0.013333333333333334
2023,7-LAW000.04,1.174,0.026000000000000002
2023,7-LAW001.24,1.1260000000000001,0.013333333333333332
2023,7-LTR000.04,1.66,0.014444444444444444
2023,7-LTR000.95,1.71,0.016666666666666666
2022,7-POQ005.72,0.44833333333333336,0.008333333333333333
2022,7-POQ006.84,0.41500000000000004,0.015000000000000001
2020,8-NAR047.69,0.3333333333333333,0.0157
2023,8-NAR047.69,0.36916666666666664,0.024999999999999998
2024,8-NAR047.69,0.3725,0.042166666666666665
2023,8-NAR050.90,0.3925,0.014583333333333334
2020,8-NAR054.17,0.5283333333333333,0.018600000000000002
2023,8-NAR054.17,0.6629166666666667,0.008071428571428571
2024,8-NAR054.17,0.59,0.008125
2020,8-NAR058.01,0.9975,0.026
2023,8-NIR012.99,0.6516666666666666,0.03666666666666667
2024,8-NIR012.99,0.62,0.05
2020,8-PMC003.18,0.55375,0.0134
2023,8-PMC003.18,0.6133333333333334,0.00907142857142857
2024,8-PMC003.18,0.5566666666666666,0.01125
2020,8-PMC007.15,0.815,0.034300000000000004
2022,8-QEN007.02,0.32,0.038
2022,8-QEN007.22,0.35000000000000003,0.036000000000000004
2022,8-QEN007.65,0.34800000000000003,0.036000000000000004
2022,8-QEN008.58,0.464,0.02
2021,9-LRV000.44,0.7983333333333333,0.475
2022,9-LRV000.44,0.765,0.425
2023,9-NEW087.14,0.5016666666666667,0.23
2023,9-PKC017.71,0.21333333333333332,0.01
2024,9-PKC017.71,0.2875,0.0125
