CBSeg2003,Station,SampleDate,Year,Month,STATION_YEAR,CHLA,TN,DIN,TP,TSS,SECCHI
APPTF ,TF5.4,2009-05-19T00:00:00Z,2009,5,TF5.4_2009,8.01,0.697,0.383,0.0591,18,0.4
APPTF ,TF5.4,2009-06-16T00:00:00Z,2009,6,TF5.4_2009,23.75,0.671,0.119,0.0764,22,0.5
APPTF ,TF5.4,2009-07-21T00:00:00Z,2009,7,TF5.4_2009,NA,0.847,0.137,0.0966,32,0.5
APPTF ,TF5.4,2009-08-18T00:00:00Z,2009,8,TF5.4_2009,47.76,0.925,0.049,0.1022,26,0.5
APPTF ,TF5.4,2009-09-15T00:00:00Z,2009,9,TF5.4_2009,32.61,1.191,0.277,0.0946,34,0.3
APPTF ,TF5.4,2009-10-28T00:00:00Z,2009,10,TF5.4_2009,27.95,1.259,0.705,0.0595,20,0.5
APPTF ,TF5.4,2010-05-04T00:00:00Z,2010,5,TF5.4_2010,15.1,0.683,0.2,0.0632,17,0.7
APPTF ,TF5.4,2010-06-02T00:00:00Z,2010,6,TF5.4_2010,20.3,0.712,0.181,0.0738,18,0.5
APPTF ,TF5.4,2010-07-07T00:00:00Z,2010,7,TF5.4_2010,54.4,0.925,0.012,0.1036,23,0.4
APPTF ,TF5.4,2010-08-03T00:00:00Z,2010,8,TF5.4_2010,50.7,0.943,0.011,0.1182,25,0.5
APPTF ,TF5.4,2010-09-08T00:00:00Z,2010,9,TF5.4_2010,56.6,1.104,0.012,0.1361,52,0.3
APPTF ,TF5.4,2010-10-05T00:00:00Z,2010,10,TF5.4_2010,11.2,0.992,0.551,0.0642,19,0.4
APPTF ,TF5.4,2011-05-03T00:00:00Z,2011,5,TF5.4_2011,6.14,0.522,0.29,0.069,30,0.4
APPTF ,TF5.4,2011-07-19T00:00:00Z,2011,7,TF5.4_2011,32.4,0.764,0.009000000000000001,0.0743,19,0.4
APPTF ,TF5.4,2011-08-02T00:00:00Z,2011,8,TF5.4_2011,44.2,0.93,0.006,0.0816,20,0.6
APPTF ,TF5.4,2011-09-22T00:00:00Z,2011,9,TF5.4_2011,24.8,1.012,0.469,0.0578,15,0.6
APPTF ,TF5.4,2011-10-04T00:00:00Z,2011,10,TF5.4_2011,18.2,NA,0.327,0.0712,21,0.6
APPTF ,TF5.4,2012-05-03T00:00:00Z,2012,5,TF5.4_2012,24.7,NA,NA,NA,20,0.4
APPTF ,TF5.4,2012-06-14T00:00:00Z,2012,6,TF5.4_2012,41,0.622,0.055,NA,26,0.6
APPTF ,TF5.4,2012-07-19T00:00:00Z,2012,7,TF5.4_2012,35.8,0.735,0.006,NA,38,0.2
APPTF ,TF5.4,2012-08-07T00:00:00Z,2012,8,TF5.4_2012,35.7,0.786,0.00525,NA,20,0.6
APPTF ,TF5.4,2012-09-20T00:00:00Z,2012,9,TF5.4_2012,1.34,0.905,0.14625,NA,26,0.3
APPTF ,TF5.4,2012-10-23T00:00:00Z,2012,10,TF5.4_2012,53.8,0.808,0.047,NA,28,0.5
APPTF ,TF5.4,2013-05-09T00:00:00Z,2013,5,TF5.4_2013,4.93,NA,0.231,NA,39,0.2
APPTF ,TF5.4,2013-06-06T00:00:00Z,2013,6,TF5.4_2013,34.5,0.595,0.08,NA,20,0.6
APPTF ,TF5.4,2013-07-18T00:00:00Z,2013,7,TF5.4_2013,7.49,NA,0.188,NA,17,0.3
APPTF ,TF5.4,2013-08-15T00:00:00Z,2013,8,TF5.4_2013,36.4,0.681,0.043,NA,20,0.5
APPTF ,TF5.4,2013-09-04T00:00:00Z,2013,9,TF5.4_2013,26.6,NA,0.158,NA,16,NA
APPTF ,TF5.4,2013-10-01T00:00:00Z,2013,10,TF5.4_2013,36.9,0.714,0.068,NA,23,0.4
APPTF ,TF5.4,2014-05-06T00:00:00Z,2014,5,TF5.4_2014,3.74,NA,0.206,NA,31,0.3
APPTF ,TF5.4,2014-06-03T00:00:00Z,2014,6,TF5.4_2014,19.8,0.891,0.233,NA,13,0.4
APPTF ,TF5.4,2014-07-01T00:00:00Z,2014,7,TF5.4_2014,23.4,0.61,0.012,NA,19,0.6
APPTF ,TF5.4,2014-08-05T00:00:00Z,2014,8,TF5.4_2014,49.7,0.603,0.016,NA,24,0.5
APPTF ,TF5.4,2014-09-03T00:00:00Z,2014,9,TF5.4_2014,43.6,0.6,0.011,NA,22,0.4
APPTF ,TF5.4,2014-10-07T00:00:00Z,2014,10,TF5.4_2014,39,0.792,0.005,NA,30,NA
APPTF ,TF5.4,2015-05-05T00:00:00Z,2015,5,TF5.4_2015,6.57,NA,0.265,NA,12,0.7
APPTF ,TF5.4,2015-06-18T00:00:00Z,2015,6,TF5.4_2015,48.1,0.78,0.0175,NA,24,0.4
APPTF ,TF5.4,2015-07-07T00:00:00Z,2015,7,TF5.4_2015,13.2,NA,0.25,NA,17,0.5
APPTF ,TF5.4,2015-08-06T00:00:00Z,2015,8,TF5.4_2015,54.2,0.803,0.009,NA,24,0.3
APPTF ,TF5.4,2015-09-17T00:00:00Z,2015,9,TF5.4_2015,44.7,0.819,0.13,NA,18,0.4
APPTF ,TF5.4,2016-05-12T00:00:00Z,2016,5,TF5.4_2016,3.42,NA,0.291,0.0746,24,0.4
APPTF ,TF5.4,2016-06-07T00:00:00Z,2016,6,TF5.4_2016,5.46,NA,0.27,0.058,13,0.5
APPTF ,TF5.4,2016-07-12T00:00:00Z,2016,7,TF5.4_2016,34.4,0.743,0.203,NA,24,0.5
APPTF ,TF5.4,2016-08-02T00:00:00Z,2016,8,TF5.4_2016,37.7,0.709,0.111,NA,21,0.5
APPTF ,TF5.4,2016-09-07T00:00:00Z,2016,9,TF5.4_2016,28.2,0.64,0.00375,NA,32,0.4
APPTF ,TF5.4,2016-10-04T00:00:00Z,2016,10,TF5.4_2016,7.55,NA,0.383,0.0478,23,0.4
APPTF ,TF5.4,2017-06-13T00:00:00Z,2017,6,TF5.4_2017,19.9,NA,0.137,NA,24,0.6
APPTF ,TF5.4,2017-07-18T00:00:00Z,2017,7,TF5.4_2017,55.8,0.779,0.005,NA,20,0.4
APPTF ,TF5.4,2017-08-01T00:00:00Z,2017,8,TF5.4_2017,56.4,0.972,0.00375,NA,22,0.4
APPTF ,TF5.4,2017-09-19T00:00:00Z,2017,9,TF5.4_2017,30.1,0.771,0.005,NA,38,0.5
APPTF ,TF5.4,2017-10-03T00:00:00Z,2017,10,TF5.4_2017,27,0.675,0.00375,NA,30,0.4
APPTF ,TF5.4,2018-05-01T00:00:00Z,2018,5,TF5.4_2018,4.47,NA,0.289,0.0704,15,0.3
APPTF ,TF5.4,2018-06-05T00:00:00Z,2018,6,TF5.4_2018,7.88,NA,0.213,0.0756,26,0.4
APPTF ,TF5.4,2018-07-10T00:00:00Z,2018,7,TF5.4_2018,39.4,NA,0.00375,0.0682,22,0.4
APPTF ,TF5.4,2018-08-07T00:00:00Z,2018,8,TF5.4_2018,20.5,NA,0.264,0.076,20,0.2
APPTF ,TF5.4,2018-09-05T00:00:00Z,2018,9,TF5.4_2018,35,NA,0.005,NA,17,0.4
APPTF ,TF5.4,2018-10-02T00:00:00Z,2018,10,TF5.4_2018,5.22,NA,0.374,0.0813,28,0.3
APPTF ,TF5.4,2019-05-07T00:00:00Z,2019,5,TF5.4_2019,6.96,NA,0.334,NA,10,NA
APPTF ,TF5.4,2019-06-04T00:00:00Z,2019,6,TF5.4_2019,33.8,0.782,0.007,NA,19,0.5
APPTF ,TF5.4,2019-07-09T00:00:00Z,2019,7,TF5.4_2019,50.4,0.869,0.014,NA,37,0.3
APPTF ,TF5.4,2019-08-06T00:00:00Z,2019,8,TF5.4_2019,19.4,0.815,0.012,NA,28,0.4
APPTF ,TF5.4,2019-09-10T00:00:00Z,2019,9,TF5.4_2019,51.1,0.768,0.005,NA,31,0.4
APPTF ,TF5.4,2019-10-08T00:00:00Z,2019,10,TF5.4_2019,25,0.42325,0.101,NA,30,0.4
APPTF ,TF5.4,2020-07-08T00:00:00Z,2020,7,TF5.4_2020,36.9,NA,0.014,NA,36,0.4
APPTF ,TF5.4,2020-08-12T00:00:00Z,2020,8,TF5.4_2020,27.5,NA,0.2,NA,16,0.6
APPTF ,TF5.4,2020-09-21T00:00:00Z,2020,9,TF5.4_2020,10.3,NA,0.207,NA,26,0.4
APPTF ,TF5.4,2020-10-05T00:00:00Z,2020,10,TF5.4_2020,5.75,NA,0.274,NA,12,0.4
APPTF ,TF5.4,2021-05-05T00:00:00Z,2021,5,TF5.4_2021,17.6,NA,0.159,NA,15,0.8
APPTF ,TF5.4,2021-06-08T00:00:00Z,2021,6,TF5.4_2021,37.6,NA,0.135,NA,29,0.4
APPTF ,TF5.4,2021-07-07T00:00:00Z,2021,7,TF5.4_2021,43,0.669,0.048,NA,22,0.5
APPTF ,TF5.4,2021-08-03T00:00:00Z,2021,8,TF5.4_2021,46.1,0.795,0.12,NA,24,0.4
APPTF ,TF5.4,2021-09-02T00:00:00Z,2021,9,TF5.4_2021,45.2,0.806,0.125,NA,24,0.6
APPTF ,TF5.4,2021-10-05T00:00:00Z,2021,10,TF5.4_2021,28.6,0.887,0.305,NA,21,0.5
APPTF ,TF5.4,2022-05-03T00:00:00Z,2022,5,TF5.4_2022,38.7,0.715,0.007,NA,37,0.6
APPTF ,TF5.4,2022-06-07T00:00:00Z,2022,6,TF5.4_2022,45,0.766,0.08,0.1332,25,0.6
APPTF ,TF5.4,2022-07-06T00:00:00Z,2022,7,TF5.4_2022,47.6,0.787,0.006,0.0878,23,0.4
APPTF ,TF5.4,2022-08-02T00:00:00Z,2022,8,TF5.4_2022,57.1,0.851,0.006,0.0838,22,0.5
APPTF ,TF5.4,2022-09-07T00:00:00Z,2022,9,TF5.4_2022,50.2,0.9,0.111,0.0794,21,0.4
APPTF ,TF5.4,2022-10-20T00:00:00Z,2022,10,TF5.4_2022,43.5,0.76,0.056,0.057,18,0.4
APPTF ,TF5.4,2023-05-02T00:00:00Z,2023,5,TF5.4_2023,9.06,0.775,0.329,0.0766,22,0.3
APPTF ,TF5.4,2023-06-06T00:00:00Z,2023,6,TF5.4_2023,51.4,0.842,0.005,0.0928,31,0.6
APPTF ,TF5.4,2023-07-06T00:00:00Z,2023,7,TF5.4_2023,49,0.881,0.015,0.0843,18,0.6
APPTF ,TF5.4,2023-08-01T00:00:00Z,2023,8,TF5.4_2023,53.5,0.881,0.076,0.0924,28,0.5
APPTF ,TF5.4,2023-09-06T00:00:00Z,2023,9,TF5.4_2023,48.4,0.746,0.0086,0.0712,24,0.4
APPTF ,TF5.4,2023-10-03T00:00:00Z,2023,10,TF5.4_2023,33.8,0.789,0.1362,0.0668,19,0.4
CHKOH ,RET5.1A,2000-05-23T00:00:00Z,2000,5,RET5.1A_2000,25.72,0.651,0.093,0.093,16,0.8
CHKOH ,RET5.1A,2000-06-20T00:00:00Z,2000,6,RET5.1A_2000,19.88,0.636,0.013999999999999999,0.072,11,NA
CHKOH ,RET5.1A,2000-07-18T00:00:00Z,2000,7,RET5.1A_2000,16.75,0.616,0.013000000000000001,0.085,17,0.6
CHKOH ,RET5.1A,2000-08-22T00:00:00Z,2000,8,RET5.1A_2000,18.48,0.628,0.016,0.09,29,0.5
CHKOH ,RET5.1A,2000-09-26T00:00:00Z,2000,9,RET5.1A_2000,25.24,NA,0.103,0.183,NA,0.5
CHKOH ,RET5.1A,2000-10-24T00:00:00Z,2000,10,RET5.1A_2000,18.33,0.552,0.012,0.056,15,0.6
CHKOH ,RET5.1A,2001-05-24T00:00:00Z,2001,5,RET5.1A_2001,23.23,0.798,0.182,0.0992,31,0.4
CHKOH ,RET5.1A,2001-06-19T00:00:00Z,2001,6,RET5.1A_2001,36.47,0.687,0.017,0.0952,22,0.5
CHKOH ,RET5.1A,2001-07-24T00:00:00Z,2001,7,RET5.1A_2001,18.01,0.637,0.012,0.0702,23,0.6
CHKOH ,RET5.1A,2001-08-21T00:00:00Z,2001,8,RET5.1A_2001,23.39,0.598,0.02,0.0888,21,0.4
CHKOH ,RET5.1A,2001-09-18T00:00:00Z,2001,9,RET5.1A_2001,15.97,0.74,0.03,0.0752,66,0.5
CHKOH ,RET5.1A,2001-10-16T00:00:00Z,2001,10,RET5.1A_2001,14.4,0.528,0.028,0.0739,28,0.4
CHKOH ,RET5.1A,2002-05-30T00:00:00Z,2002,5,RET5.1A_2002,29.39,0.838,0.138,0.0857,29,0.3
CHKOH ,RET5.1A,2002-06-25T00:00:00Z,2002,6,RET5.1A_2002,11.21,0.531,0.009000000000000001,0.0616,19,0.5
CHKOH ,RET5.1A,2002-07-23T00:00:00Z,2002,7,RET5.1A_2002,12.32,0.49,0.006,0.0706,27,0.6
CHKOH ,RET5.1A,2002-08-13T00:00:00Z,2002,8,RET5.1A_2002,12.51,0.557,0.006,0.076,14,0.6
CHKOH ,RET5.1A,2002-09-24T00:00:00Z,2002,9,RET5.1A_2002,18.58,0.6545,0.007,0.08,23,0.5
CHKOH ,RET5.1A,2002-10-22T00:00:00Z,2002,10,RET5.1A_2002,5.39,NA,NA,NA,NA,0.6
CHKOH ,RET5.1A,2003-05-27T00:00:00Z,2003,5,RET5.1A_2003,10.22,0.777,0.203,0.06,15,0.4
CHKOH ,RET5.1A,2003-06-24T00:00:00Z,2003,6,RET5.1A_2003,11.62,0.469,0.179,0.06,12,0.5
CHKOH ,RET5.1A,2003-07-15T00:00:00Z,2003,7,RET5.1A_2003,10,0.538,0.014,0.06,13,0.6
CHKOH ,RET5.1A,2003-08-26T00:00:00Z,2003,8,RET5.1A_2003,13.62,0.9005,0.186,0.07,29,0.4
CHKOH ,RET5.1A,2003-09-24T00:00:00Z,2003,9,RET5.1A_2003,7.26,0.627,0.145,0.08,38,0.2
CHKOH ,RET5.1A,2003-10-28T00:00:00Z,2003,10,RET5.1A_2003,5.62,0.75,0.315,0.089,29,0.4
CHKOH ,RET5.1A,2004-05-18T00:00:00Z,2004,5,RET5.1A_2004,16.87,0.832,0.16,0.0978,16,0.4
CHKOH ,RET5.1A,2004-06-15T00:00:00Z,2004,6,RET5.1A_2004,21.11,NA,0.006,0.0806,22,0.5
CHKOH ,RET5.1A,2004-07-20T00:00:00Z,2004,7,RET5.1A_2004,13.31,0.672,0.006,0.082,14,0.6
CHKOH ,RET5.1A,2004-08-17T00:00:00Z,2004,8,RET5.1A_2004,4.43,0.615,0.087,0.0808,12,0.5
CHKOH ,RET5.1A,2004-09-21T00:00:00Z,2004,9,RET5.1A_2004,5.32,0.64,0.15,0.0853,16,0.6
CHKOH ,RET5.1A,2004-10-19T00:00:00Z,2004,10,RET5.1A_2004,2.53,0.556,0.1,0.0551,6,0.8
CHKOH ,RET5.1A,2005-05-24T00:00:00Z,2005,5,RET5.1A_2005,0.5,0.756,0.062,0.0986,42,0.4
CHKOH ,RET5.1A,2005-06-21T00:00:00Z,2005,6,RET5.1A_2005,0.5,0.671,0.059,0.0844,37,0.5
CHKOH ,RET5.1A,2005-07-19T00:00:00Z,2005,7,RET5.1A_2005,19.1,0.546,0.037,0.0691,31,0.3
CHKOH ,RET5.1A,2005-08-23T00:00:00Z,2005,8,RET5.1A_2005,13.08,0.62,0.036,0.0628,22,0.5
CHKOH ,RET5.1A,2005-09-20T00:00:00Z,2005,9,RET5.1A_2005,12.34,0.467,0.031,0.058,17,0.4
CHKOH ,RET5.1A,2005-10-18T00:00:00Z,2005,10,RET5.1A_2005,6.76,0.839,0.167,0.0884,46,0.4
CHKOH ,RET5.1A,2006-05-15T00:00:00Z,2006,5,RET5.1A_2006,7.94,0.594,0.107,0.0568,20,0.6
CHKOH ,RET5.1A,2006-06-29T00:00:00Z,2006,6,RET5.1A_2006,6.59,0.557,0.082,0.0796,25,0.6
CHKOH ,RET5.1A,2006-07-24T00:00:00Z,2006,7,RET5.1A_2006,15.72,0.693,0.112,0.0887,41,0.4
CHKOH ,RET5.1A,2006-08-22T00:00:00Z,2006,8,RET5.1A_2006,9.45,0.62,0.014,0.0479,37,0.4
CHKOH ,RET5.1A,2006-09-26T00:00:00Z,2006,9,RET5.1A_2006,8.72,NA,0.094,0.0832,32,0.3
CHKOH ,RET5.1A,2006-10-30T00:00:00Z,2006,10,RET5.1A_2006,2.87,0.61,0.105,0.0797,19,0.3
CHKOH ,RET5.1A,2007-05-30T00:00:00Z,2007,5,RET5.1A_2007,11.77,0.534,0.032,0.0694,25,0.7
CHKOH ,RET5.1A,2007-06-18T00:00:00Z,2007,6,RET5.1A_2007,16.93,0.627,0.048,0.0622,14,0.8
CHKOH ,RET5.1A,2007-07-23T00:00:00Z,2007,7,RET5.1A_2007,15.5,0.542,0.025,0.0768,40,0.5
CHKOH ,RET5.1A,2007-08-20T00:00:00Z,2007,8,RET5.1A_2007,12.69,0.421,0.015,0.0731,17,0.5
CHKOH ,RET5.1A,2007-09-24T00:00:00Z,2007,9,RET5.1A_2007,13.9,0.565,0.039,0.0764,19,0.4
CHKOH ,RET5.1A,2007-10-22T00:00:00Z,2007,10,RET5.1A_2007,11.25,0.631,0.12,0.0629,14,0.5
CHKOH ,RET5.1A,2008-05-22T00:00:00Z,2008,5,RET5.1A_2008,10.79,0.756,0.083,0.0895,16,0.4
CHKOH ,RET5.1A,2008-06-17T00:00:00Z,2008,6,RET5.1A_2008,15.74,0.698,0.052,0.0817,17,0.6
CHKOH ,RET5.1A,2008-07-15T00:00:00Z,2008,7,RET5.1A_2008,8.79,0.534,0.042,0.0555,15,0.5
CHKOH ,RET5.1A,2008-08-19T00:00:00Z,2008,8,RET5.1A_2008,NA,NA,NA,NA,16,0.6
CHKOH ,RET5.1A,2008-09-16T00:00:00Z,2008,9,RET5.1A_2008,13.8,0.789,0.13,0.0942,43,0.4
CHKOH ,RET5.1A,2008-10-21T00:00:00Z,2008,10,RET5.1A_2008,9.31,0.685,0.112,0.0758,32,0.6
CHKOH ,RET5.1A,2009-05-19T00:00:00Z,2009,5,RET5.1A_2009,9.18,0.798,0.236,0.065,20,0.5
CHKOH ,RET5.1A,2009-06-16T00:00:00Z,2009,6,RET5.1A_2009,17.78,0.654,0.062,0.0768,22,0.5
CHKOH ,RET5.1A,2009-07-21T00:00:00Z,2009,7,RET5.1A_2009,NA,0.593,0.026,0.0976,47,0.4
CHKOH ,RET5.1A,2009-08-18T00:00:00Z,2009,8,RET5.1A_2009,10.56,0.477,0.020999999999999998,0.055,17,0.6
CHKOH ,RET5.1A,2009-09-15T00:00:00Z,2009,9,RET5.1A_2009,11.66,0.622,0.035,0.068,25,0.5
CHKOH ,RET5.1A,2009-10-28T00:00:00Z,2009,10,RET5.1A_2009,10.02,0.614,0.173,0.045,14,0.6
CHKOH ,RET5.1A,2010-05-04T00:00:00Z,2010,5,RET5.1A_2010,11.1,0.55,0.036,0.0678,23,0.5
CHKOH ,RET5.1A,2010-06-02T00:00:00Z,2010,6,RET5.1A_2010,13.9,0.573,0.028,0.0742,21,0.6
CHKOH ,RET5.1A,2010-07-07T00:00:00Z,2010,7,RET5.1A_2010,10.4,0.482,0.039,0.06,16,0.5
CHKOH ,RET5.1A,2010-08-03T00:00:00Z,2010,8,RET5.1A_2010,7.71,0.405,0.033,0.0796,24,0.5
CHKOH ,RET5.1A,2010-09-08T00:00:00Z,2010,9,RET5.1A_2010,12.4,0.669,0.037,0.1166,55,0.3
CHKOH ,RET5.1A,2010-10-05T00:00:00Z,2010,10,RET5.1A_2010,5.43,0.745,0.24,0.0879,36,0.4
CHKOH ,RET5.1A,2011-05-03T00:00:00Z,2011,5,RET5.1A_2011,24.2,0.635,0.108,0.1044,47,0.3
CHKOH ,RET5.1A,2011-07-19T00:00:00Z,2011,7,RET5.1A_2011,13.3,0.636,0.012,0.073,16,0.5
CHKOH ,RET5.1A,2011-08-02T00:00:00Z,2011,8,RET5.1A_2011,21.5,0.709,0.022,0.0684,16,0.6
CHKOH ,RET5.1A,2011-09-22T00:00:00Z,2011,9,RET5.1A_2011,16.1,0.677,0.045,0.0904,20,0.4
CHKOH ,RET5.1A,2011-10-04T00:00:00Z,2011,10,RET5.1A_2011,7.49,NA,0.109,0.1018,34,0.4
CHKOH ,RET5.1A,2012-05-03T00:00:00Z,2012,5,RET5.1A_2012,32.5,NA,NA,NA,18,0.6
CHKOH ,RET5.1A,2012-06-14T00:00:00Z,2012,6,RET5.1A_2012,16.6,NA,0.028,NA,17,0.5
CHKOH ,RET5.1A,2012-07-19T00:00:00Z,2012,7,RET5.1A_2012,18.6,NA,0.023,NA,25,0.4
CHKOH ,RET5.1A,2012-08-07T00:00:00Z,2012,8,RET5.1A_2012,23.2,NA,0.028,NA,15,0.5
CHKOH ,RET5.1A,2012-09-20T00:00:00Z,2012,9,RET5.1A_2012,15.5,NA,NA,NA,19,0.5
CHKOH ,RET5.1A,2012-10-23T00:00:00Z,2012,10,RET5.1A_2012,13.7,NA,0.152,NA,17,0.5
CHKOH ,RET5.1A,2013-05-09T00:00:00Z,2013,5,RET5.1A_2013,8.51,NA,0.235,0.0637,26,0.6
CHKOH ,RET5.1A,2013-06-06T00:00:00Z,2013,6,RET5.1A_2013,35.1,NA,NA,NA,33,0.4
